plz4,plzz,plznamk,plznaml,ktkz,gdenr,gdenamk,source,changed
8260,0,Stein am Rhein,Stein am Rhein,SH,2964,Stein am Rhein,GEN,20.05.2023 05:34:00
8219,0,Trasadingen,Trasadingen,SH,2973,Trasadingen,GEN,20.05.2023 05:34:00
8240,0,Thayngen,Thayngen,SH,2920,Thayngen,GEN,20.05.2023 05:34:00
8262,0,Ramsen,Ramsen,SH,2963,Ramsen,GEN,20.05.2023 05:34:00
8238,0,Büsingen,Büsingen,DE,7101,Büsingen,GEN,20.05.2023 05:34:01
8247,0,Flurlingen,Flurlingen,ZH,29,Flurlingen,GEN,20.05.2023 05:34:00
8248,0,Uhwiesen,Uhwiesen,ZH,34,Laufen-Uhwiesen,GEN,20.05.2023 05:34:00
8231,0,Hemmental,Hemmental,SH,2939,Schaffhausen,GEN,20.05.2023 05:34:00
8259,4,Wagenhausen,Wagenhausen,TG,4871,Wagenhausen,GEN,20.05.2023 05:34:00
8215,0,Hallau,Hallau,SH,2971,Hallau,GEN,20.05.2023 05:34:00
8242,0,Bibern SH,Bibern SH,SH,2920,Thayngen,GEN,20.05.2023 05:34:00
8245,0,Feuerthalen,Feuerthalen,ZH,27,Feuerthalen,GEN,20.05.2023 05:34:00
8200,0,Schaffhausen,Schaffhausen,SH,2939,Schaffhausen,GEN,20.05.2023 05:34:00
8207,0,Schaffhausen,Schaffhausen,SH,2939,Schaffhausen,GEN,20.05.2023 05:34:00
8447,0,Dachsen,Dachsen,ZH,25,Dachsen,GEN,20.05.2023 05:34:00
8213,0,Neunkirch,Neunkirch,SH,2904,Neunkirch,GEN,20.05.2023 05:34:00
8239,0,Dörflingen,Dörflingen,SH,2915,Dörflingen,GEN,20.05.2023 05:34:00
4126,0,Bettingen,Bettingen,BS,2702,Bettingen,GEN,20.05.2023 05:33:59
8463,0,Benken ZH,Benken ZH,ZH,22,Benken (ZH),GEN,20.05.2023 05:34:00
8246,0,Langwiesen,Langwiesen,ZH,27,Feuerthalen,GEN,20.05.2023 05:34:00
8203,0,Schaffhausen,Schaffhausen,SH,2939,Schaffhausen,GEN,20.05.2023 05:34:00
8259,0,Kaltenbach,Kaltenbach,TG,4871,Wagenhausen,GEN,20.05.2023 05:34:00
8214,0,Gächlingen,Gächlingen,SH,2901,Gächlingen,GEN,20.05.2023 05:34:00
8234,0,Stetten SH,Stetten SH,SH,2919,Stetten (SH),GEN,20.05.2023 05:34:00
4227,0,Büsserach,Büsserach,SO,2614,Büsserach,GEN,20.05.2023 05:33:59
8261,0,Hemishofen,Hemishofen,SH,2962,Hemishofen,GEN,20.05.2023 05:34:00
8217,0,Wilchingen,Wilchingen,SH,2974,Wilchingen,GEN,20.05.2023 05:34:00
8225,0,Siblingen,Siblingen,SH,2953,Siblingen,GEN,20.05.2023 05:34:00
8252,0,Schlatt TG,Schlatt TG,TG,4546,Schlatt (TG),GEN,20.05.2023 05:34:00
8222,0,Beringen,Beringen,SH,2932,Beringen,GEN,20.05.2023 05:34:00
8222,0,Beringen,Beringen,SH,2939,Schaffhausen,GEN,20.05.2023 05:34:00
8197,0,Rafz,Rafz,ZH,67,Rafz,GEN,20.05.2023 05:34:00
9470,0,Buchs SG,Buchs SG,SG,3271,Buchs (SG),GEN,20.05.2023 05:34:01
8914,2,Aeugstertal,Aeugstertal,ZH,1,Aeugst am Albis,GEN,20.05.2023 05:34:00
8914,0,Aeugst am Albis,Aeugst am Albis,ZH,1,Aeugst am Albis,GEN,20.05.2023 05:34:00
8910,0,Affoltern am Albis,Affoltern am Albis,ZH,2,Affoltern am Albis,GEN,20.05.2023 05:34:00
8909,0,Zwillikon,Zwillikon,ZH,2,Affoltern am Albis,GEN,20.05.2023 05:34:00
8906,0,Bonstetten,Bonstetten,ZH,3,Bonstetten,GEN,20.05.2023 05:34:00
8925,0,Ebertswil,Ebertswil,ZH,4,Hausen am Albis,GEN,20.05.2023 05:34:00
6340,4,Sihlbrugg,Sihlbrugg,ZH,4,Hausen am Albis,GEN,20.05.2023 05:34:00
8915,0,Hausen am Albis,Hausen am Albis,ZH,4,Hausen am Albis,GEN,20.05.2023 05:34:00
8908,0,Hedingen,Hedingen,ZH,5,Hedingen,GEN,20.05.2023 05:34:00
8926,0,Kappel am Albis,Kappel am Albis,ZH,6,Kappel am Albis,GEN,20.05.2023 05:34:00
8926,3,Uerzlikon,Uerzlikon,ZH,6,Kappel am Albis,GEN,20.05.2023 05:34:01
8926,2,Hauptikon,Hauptikon,ZH,6,Kappel am Albis,GEN,20.05.2023 05:34:01
8934,0,Knonau,Knonau,ZH,7,Knonau,GEN,20.05.2023 05:34:00
8933,0,Maschwanden,Maschwanden,ZH,8,Maschwanden,GEN,20.05.2023 05:34:00
8932,0,Mettmenstetten,Mettmenstetten,ZH,9,Mettmenstetten,GEN,20.05.2023 05:34:00
8912,0,Obfelden,Obfelden,ZH,10,Obfelden,GEN,20.05.2023 05:34:00
8910,0,Affoltern am Albis,Affoltern am Albis,ZH,10,Obfelden,GEN,20.05.2023 05:34:00
8913,0,Ottenbach,Ottenbach,ZH,11,Ottenbach,GEN,20.05.2023 05:34:00
8911,0,Rifferswil,Rifferswil,ZH,12,Rifferswil,GEN,20.05.2023 05:34:00
8143,0,Stallikon,Stallikon,ZH,13,Stallikon,GEN,20.05.2023 05:34:00
8143,2,Uetliberg,Uetliberg,ZH,13,Stallikon,GEN,20.05.2023 05:34:00
8134,0,Adliswil,Adliswil,ZH,13,Stallikon,GEN,20.05.2023 05:34:00
8907,0,Wettswil,Wettswil,ZH,14,Wettswil am Albis,GEN,20.05.2023 05:34:00
8415,0,Berg am Irchel,Berg am Irchel,ZH,23,Berg am Irchel,GEN,20.05.2023 05:34:00
8415,1,Gräslikon,Gräslikon,ZH,23,Berg am Irchel,GEN,20.05.2023 05:34:00
8414,0,Buch am Irchel,Buch am Irchel,ZH,24,Buch am Irchel,GEN,20.05.2023 05:34:00
8458,0,Dorf,Dorf,ZH,26,Dorf,GEN,20.05.2023 05:34:00
8416,0,Flaach,Flaach,ZH,28,Flaach,GEN,20.05.2023 05:34:00
8444,0,Henggart,Henggart,ZH,31,Henggart,GEN,20.05.2023 05:34:00
8451,0,Kleinandelfingen,Kleinandelfingen,ZH,33,Kleinandelfingen,GEN,20.05.2023 05:34:00
8461,0,Oerlingen,Oerlingen,ZH,33,Kleinandelfingen,GEN,20.05.2023 05:34:00
8453,0,Alten,Alten,ZH,33,Kleinandelfingen,GEN,20.05.2023 05:34:00
8447,0,Dachsen,Dachsen,ZH,34,Laufen-Uhwiesen,GEN,20.05.2023 05:34:00
8212,4,Nohl,Nohl,ZH,34,Laufen-Uhwiesen,GEN,20.05.2023 05:34:01
8460,0,Marthalen,Marthalen,ZH,35,Marthalen,GEN,20.05.2023 05:34:00
8464,0,Ellikon am Rhein,Ellikon am Rhein,ZH,35,Marthalen,GEN,20.05.2023 05:34:00
8475,0,Ossingen,Ossingen,ZH,37,Ossingen,GEN,20.05.2023 05:34:00
8466,0,Trüllikon,Trüllikon,ZH,37,Ossingen,GEN,20.05.2023 05:34:00
8462,0,Rheinau,Rheinau,ZH,38,Rheinau,GEN,20.05.2023 05:34:00
